country,net,count,total,share
USA,Novel,521,705,73.90070921985816
USA,Conventional,184,705,26.099290780141843
CHINA,Novel,344,436,78.89908256880734
CHINA,Conventional,92,436,21.100917431192663
AUSTRALIA,Novel,167,244,68.44262295081968
AUSTRALIA,Conventional,77,244,31.557377049180328
GERMANY,Novel,187,215,86.9767441860465
GERMANY,Conventional,28,215,13.023255813953488
ENGLAND,Novel,176,211,83.41232227488152
ENGLAND,Conventional,35,211,16.587677725118482
CANADA,Conventional,40,184,21.73913043478261
CANADA,Novel,144,184,78.26086956521739
SPAIN,Novel,80,112,71.42857142857143
SPAIN,Conventional,32,112,28.57142857142857
NETHERLANDS,Novel,80,102,78.43137254901961
NETHERLANDS,Conventional,22,102,21.568627450980394
INDIA,Novel,62,99,62.62626262626263
INDIA,Conventional,37,99,37.37373737373738
ITALY,Novel,67,97,69.0721649484536
ITALY,Conventional,30,97,30.927835051546392
FRANCE,Novel,58,80,72.5
FRANCE,Conventional,22,80,27.500000000000004
SCOTLAND,Novel,59,80,73.75
SCOTLAND,Conventional,21,80,26.25
NEW ZEALAND,Novel,53,64,82.8125
NEW ZEALAND,Conventional,11,64,17.1875
SWEDEN,Novel,46,59,77.96610169491525
SWEDEN,Conventional,13,59,22.033898305084744
JAPAN,Novel,49,58,84.48275862068965
JAPAN,Conventional,9,58,15.517241379310345
SWITZERLAND,Novel,44,55,80
SWITZERLAND,Conventional,11,55,20
BELGIUM,Conventional,13,53,24.528301886792452
BELGIUM,Novel,40,53,75.47169811320755
BRAZIL,Conventional,13,51,25.49019607843137
BRAZIL,Novel,38,51,74.50980392156863
SOUTH KOREA,Conventional,11,48,22.916666666666664
SOUTH KOREA,Novel,37,48,77.08333333333334
DENMARK,Novel,34,42,80.95238095238095
DENMARK,Conventional,8,42,19.047619047619047
